player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id
100551,Brad,Drewett,L,19580719.0,AUS,185.0,Q461077
100552,Norbert,Henn,R,19580802.0,GER,,
100553,Nduka,Odizor,R,19580809.0,NGR,183.0,Q1415593
100554,Matthew,McDonald,R,19580811.0,USA,,
100555,Jose Luis,Clerc,R,19580816.0,ARG,185.0,Q1373467
100556,Brian,Levine,R,19580820.0,RSA,183.0,Q4964491
100557,Jai,Dilouie,R,19580911.0,USA,,Q22958982
100558,Rodney,Crowley,R,19580922.0,USA,,
100559,Mike,Gandolfo,R,19581003.0,USA,,Q17300518
100560,Jacques,Manset,R,19581011.0,USA,185.0,Q38678473
100561,Peter,Smylie,R,19581011.0,AUS,,Q62473938
100562,Tom,Cain,R,19581011.0,USA,185.0,Q22095401
100563,Joel,Hoffman,R,19581014.0,USA,,
100564,Cary,Stansbury,R,19581017.0,USA,196.0,Q56809087
100565,Lloyd,Bourne,R,19581018.0,USA,190.0,Q3257516
100566,Hitoshi,Shirato,R,19581019.0,JPN,,Q81894225
100567,Chip,Hooper,R,19581024.0,USA,198.0,Q2963834
100568,John,Mattke,R,19581029.0,USA,183.0,Q29343269
100569,Toru,Yonezawa,R,19581031.0,JPN,188.0,Q56809131
100570,Marty,Davis,R,19581115.0,USA,183.0,Q1428545
100571,Mark,Freedman,R,19581119.0,USA,,Q87725068
100572,Ney,Keller,R,19581202.0,BRA,,Q23908913
100573,Ron,Hightower,R,19581212.0,USA,185.0,Q28606694
100574,Peter,Rennert,L,19581226.0,USA,185.0,Q2483691
100575,Andy,Andrews,R,19590101.0,USA,185.0,Q2849052
100576,John,Huebner,R,19590112.0,USA,,
100577,Rory,Chappell,R,19590113.0,RSA,,Q84065117
100578,Brent,Pirow,R,19590206.0,RSA,,Q83077575
100579,Heinz,Gunthardt,R,19590208.0,SUI,180.0,Q638555
100580,Rick,Cowden,R,19590209.0,USA,,
100581,John,McEnroe,L,19590216.0,USA,180.0,Q16474
100582,Tom,Caine,R,19590228.0,USA,,
100583,Jeff,Robbins,R,19590301.0,USA,,
100584,Peter,Lamb,R,19590312.0,RSA,,
100585,Van,Winitsky,L,19590312.0,USA,185.0,Q677136
100586,Eliot,Teltscher,R,19590315.0,USA,178.0,Q1762775
100587,Steve,Guy,R,19590315.0,NZL,188.0,Q1431261
100588,Pender,Murphy,R,19590319.0,USA,,Q84073353
100589,Harald,Theissen,R,19590323.0,GER,,Q5653995
100590,Reid,Freeman,R,19590404.0,USA,,
100591,Matt,Horwitch,R,19590410.0,USA,,
100592,Robert,Vant Hof,R,19590410.0,USA,193.0,Q1115302
100593,Miloslav,Lacek,L,19590416.0,CZE,175.0,
100594,Kevin,Kerns,R,19590424.0,USA,,
100595,Ronnie,Bathman,R,19590424.0,SWE,183.0,Q2165991
100596,Bill,Cowan,R,19590428.0,CAN,,Q105713010
100597,Jay,Lapidus,L,19590501.0,USA,188.0,Q6166829
100598,Wolfgang,Popp,R,19590519.0,GER,183.0,Q119895
100599,Bernard,Boileau,R,19590525.0,BEL,185.0,Q2897563
100600,Pascal,Portes,R,19590528.0,FRA,175.0,Q3367571
100601,Ricardo,Sanchez Rueda,R,19590606.0,ESP,173.0,
100602,Vallis,Wilder,R,19590608.0,USA,190.0,
100603,Roland,Stadler,A,19590614.0,SUI,178.0,Q7360439
100604,Egan,Adams,R,19590615.0,USA,178.0,Q23542556
100605,Charlie,Fancutt,R,19590617.0,AUS,178.0,Q5084826
100606,Mike,Bauer,R,19590629.0,USA,188.0,Q1490111
100607,Eduardo,Bengoechea,R,19590702.0,ARG,185.0,Q552789
100608,John,Benson,R,19590702.0,USA,,Q6221595
100609,Zoltan,Kuharszky,R,19590708.0,HUN,183.0,Q8073608
100610,Eduard,Pana,R,19590717.0,ROU,,
100611,Mel,Purcell,R,19590718.0,USA,178.0,Q325724
100612,Alvaro,Margets,R,19590726.0,ESP,,
100613,Clarke,Diehl,R,19590728.0,USA,,
100614,Massimo,Grassotti,R,19590808.0,ITA,,
